,Date,Away Team,Away Score,Home Team,Home Score,Away Division,Home Division,Game Type,Game_ID,Away ELO Prior,Away EA,Away ELO Posterior,Away Delta,Home ELO Prior,Home EA,Home ELO Posterior,Home Delta
1528,03/13/26,Rainier Reindeers HC-9,3,Orange Crush,2,Division 9B,Division 9B,REG,03/13/26_Rainier Reindeers HC-9_@_Orange Crush,1222,44.7,1266,44,1260,55.3,1216,-44
1529,03/13/26,Spicy Kittens,2,Mighty Moose,3,Division 9B,Division 9B,REG,03/13/26_Spicy Kittens_@_Mighty Moose,1414,48.5,1379,-35,1424,51.5,1458,34
1530,03/14/26,Seattle Freeze,9,Seals Lower,1,Division 7A,Division 7A,REG,03/14/26_Seattle Freeze_@_Seals Lower,2250,86.8,2276,26,1923,13.2,1897,-26
1531,03/14/26,Trash Pandas Garbage Legacy,3,Raiders,8,Division 6D,Division 6D,REG,03/14/26_Trash Pandas Garbage Legacy_@_Raiders,2312,66.9,2215,-97,2190,33.1,2286,96
1532,03/14/26,Trash Pandas 7 Landis,5,Not Sure 7A,2,Division 7A,Division 7A,REG,03/14/26_Trash Pandas 7 Landis_@_Not Sure 7A,2227,16.4,2338,111,2509,83.6,2398,-111
1533,03/14/26,Chucklepucks,7,Cascadians HC,5,Division 7A,Division 7A,REG,03/14/26_Chucklepucks_@_Cascadians HC,2401,62.9,2446,45,2310,37.1,2265,-45
1534,03/15/26,Gremlins Hockey,2,Frozen Assets,4,Division 9A,Division 9A,REG,03/15/26_Gremlins Hockey_@_Frozen Assets,1608,27.0,1580,-28,1781,73.0,1809,28
1535,03/15/26,Red Zeppelin,1,Doom Clouds,0,Division 10A,Division 10A,REG,03/15/26_Red Zeppelin_@_Doom Clouds,1182,84.6,1195,13,886,15.4,873,-13
1536,03/15/26,Seattle Slapshots,3,SEA Cucumbers,0,Division 8B,Division 8B,REG,03/15/26_Seattle Slapshots_@_SEA Cucumbers,1718,46.7,1792,74,1741,53.3,1668,-73
1537,03/15/26,Not Sure 5A,9,BSOD,3,Division 5A,Division 4C,REG,03/15/26_Not Sure 5A_@_BSOD,3030,57.5,3102,72,2978,42.5,2906,-72
1538,03/15/26,Khaos,4,Fighting Clams,7,Division 9A,Division 9A,REG,03/15/26_Khaos_@_Fighting Clams,1417,63.6,1337,-80,1320,36.4,1400,80
1539,03/15/26,Golden Mules,4,Ice Breakers,3,Division 10A,Division 10A,REG,03/15/26_Golden Mules_@_Ice Breakers,913,24.7,971,58,1107,75.3,1049,-58
1540,03/15/26,Hungry Hatchlings,2,Toe Dragons,2,Division 8B,Division 8B,REG,03/15/26_Hungry Hatchlings_@_Toe Dragons,1498,53.4,1498,0,1475,46.6,1475,0
1541,03/15/26,BLU Bombers,4,Pond Pigeons,1,Division 7C,Division 7C,REG,03/15/26_BLU Bombers_@_Pond Pigeons,1907,85.3,1929,22,1602,14.7,1581,-21
1542,03/15/26,Spring 10B Purple,4,Spring 10B White,2,Division 10B,Division 10B,REG,03/15/26_Spring 10B Purple_@_Spring 10B White,1000,50.0,1059,59,1000,50.0,941,-59
1543,03/15/26,Tropical Punchers,5,Beer Dragons,2,Division 9B,Division 9B,REG,03/15/26_Tropical Punchers_@_Beer Dragons,1127,81.3,1154,27,872,18.7,845,-27
1544,03/15/26,LKI,6,Quacken,1,Division 7C,Division 7C,REG,03/15/26_LKI_@_Quacken,1900,46.8,1984,84,1922,53.2,1838,-84
1545,03/15/26,Rainiers,0,Seal Team Sticks,1,Division 8B,Division 8B,REG,03/15/26_Rainiers_@_Seal Team Sticks,1889,51.0,1853,-36,1882,49.0,1918,36
1546,03/15/26,Roughnecks Mobile Infantry,1,Iced Awesome,3,Division 7B,Division 7B,REG,03/15/26_Roughnecks Mobile Infantry_@_Iced Awesome,1789,25.4,1763,-26,1976,74.6,2002,26
1547,03/15/26,Orcas,1,Sockeyes Div 8,3,Division 8A,Division 8A,REG,03/15/26_Orcas_@_Sockeyes Div 8,1977,78.6,1891,-86,1751,21.4,1837,86
1548,03/15/26,Spring 10B Sky Blue,7,Spring 10B Red,3,Division 10B,Division 10B,REG,03/15/26_Spring 10B Sky Blue_@_Spring 10B Red,1000,50.0,1074,74,1000,50.0,926,-74
1549,03/15/26,Yacht Flippers,1,Blackbirds,4,Division 9A,Division 9A,REG,03/15/26_Yacht Flippers_@_Blackbirds,1337,17.4,1316,-21,1607,82.6,1628,21
1550,03/15/26,Bandits,1,Fluffy Bunnies,2,Division 7B,Division 7B,REG,03/15/26_Bandits_@_Fluffy Bunnies,1971,29.1,1951,-20,2126,70.9,2146,20
1551,03/15/26,Birrds,2,Hampton West Hockey Club,5,Division 7B,Division 7B,REG,03/15/26_Birrds_@_Hampton West Hockey Club,2072,24.7,2042,-30,2266,75.3,2295,29
1552,03/15/26,Glow Sticks,5,Spittin'' Llamas,1,Division 8A,Division 8A,REG,03/15/26_Glow Sticks_@_Spittin'' Llamas,1997,86.5,2018,21,1674,13.5,1653,-21
1553,03/15/26,Blackouts,4,Scrooge McPuck,4,Division 8A,Division 8A,REG,03/15/26_Blackouts_@_Scrooge McPuck,1553,53.3,1553,0,1530,46.7,1531,1
1554,03/15/26,Los Tigres,9,Seattle Dogs,5,Division 7C,Division 7C,REG,03/15/26_Los Tigres_@_Seattle Dogs,2053,77.6,2087,34,1837,22.4,1803,-34
