Game#,Date,Away Team,Away Score,Home Team,Home Score,Away Division,Home Division,Game Type
,24-Sep-25,40+ Puck Dynasty,7,40+ Mid-Ice Crisis,2,40+ Fall 2025,40+ Fall 2025,REG
,24-Sep-25,Puget Sound Pigeons,5,The Herd,1,Division 3,Division 3,REG
,25-Sep-25,LLUA,5,Skeletons,4,Division 4C,Division 4C,REG
,25-Sep-25,Mighty Mallards,0,Chinooks,5,Division 4B,Division 4A,REG
,25-Sep-25,Skateful Dead,3,Steelhead,5,Division 4A,Division 4A,REG
,25-Sep-25,The Brigade,7,Pull Tab Bandits,4,Division 2,Division 2,REG
,25-Sep-25,Sasquatch,2,Bombers,3,Division 3B,Division 3B,REG
,25-Sep-25,Mustangs,1,Mavericks,2,Division 1,Division 2,REG
,25-Sep-25,Falcons,2,ALTP,7,Division 1,Division 1,REG
,25-Sep-25,Bar Down Transportation,3,Eagles,6,Division 3A,Division 3,REG
,25-Sep-25,NW Stars,8,Northwest Crabs,0,Division 1,Division 2,REG
,25-Sep-25,Chiefs,7,Red Dog,5,Division 2,Division 2,REG
,25-Sep-25,Seattle Supernova,3,ESB,3,Division 1,Division 1,REG
,28-Sep-25,Rainier Reindeers HC-9,0,Fighting Clams,4,Division 9B,Division 9A,REG
,28-Sep-25,Yacht Flippers,0,Blackbirds,4,Division 9A,Division 9A,REG
,28-Sep-25,Rainiers,3,SEA Cucumbers,4,Division 8B,Division 8B,REG
,28-Sep-25,Seal Team Sticks,6,Seattle Slapshots,1,Division 8B,Division 8B,REG
,28-Sep-25,Sockeyes Div 8,1,Glow Sticks,4,Division 8A,Division 8A,REG
,28-Sep-25,Doom Clouds,2,Red Zeppelin,7,Division 10A,Division 10A,REG
,28-Sep-25,BLU Bombers,7,Blackouts,2,Division 7C,Division 8A,REG
,28-Sep-25,Toe Dragons,3,Scrooge McPuck,4,Division 8B,Division 8A,REG
,28-Sep-25,Khaos,4,Gremlins Hockey,4,Division 9A,Division 9A,REG
,28-Sep-25,Ice Breakers,10,Golden Mules,0,Division 10A,Division 10A,REG
,28-Sep-25,Purple Reign,1,Orange Crush,5,Division 9B,Division 9B,REG
,28-Sep-25,Raiders,7,Greenhorns,1,Division 6D,Division 6C,REG
,28-Sep-25,Coyotes,1,Hackers,2,Division 6C,Division 6C,REG
,28-Sep-25,Honey Badgers,3,Mighty Boosh,6,Division 6C,Division 6B,REG
,28-Sep-25,Tropical Punchers,2,Mighty Moose,5,Division 9B,Division 9B,REG
,28-Sep-25,Wranglers,6,Barrel Aged Brewzers,5,Division 6D,Division 6D,REG
,28-Sep-25,Beer Dragons,4,Purple Puck Eaters,5,Division 9B,Division 9B,REG
,28-Sep-25,Seattle Dogs,2,LKI,5,Division 7C,Division 7C,REG
,28-Sep-25,Hampton West Hockey Club,4,Bandits,2,Division 7B,Division 7B,REG
,28-Sep-25,Real Bacon,0,Rainier Reindeer HC-6B,8,Division 6C,Division 6B,REG
,28-Sep-25,Seals Lower,4,Roughnecks Mobile Infantry,4,Division 7A,Division 7B,REG
,28-Sep-25,Frozen Assets,2,Spicy Kittens,2,Division 9A,Division 9B,REG
,28-Sep-25,Chucklepucks,4,Fluffy Bunnies,0,Division 7A,Division 7B,REG
,28-Sep-25,Squids,4,Flying Monkeys,2,Division 6A,Division 6A,REG
,28-Sep-25,Hungry Hatchlings,1,Iced Awesome,9,Division 8B,Division 7B,REG
,28-Sep-25,Quacken,5,Los Tigres,4,Division 7C,Division 7C,REG
,28-Sep-25,Spittin'' Llamas,2,Orcas,3,Division 8A,Division 8A,REG
,28-Sep-25,Trash Pandas Garbage Legacy,6,Not Sure 7A,5,Division 6D,Division 7A,REG
,28-Sep-25,Monarchs 6C,4,Blades,1,Division 6C,Division 6D,REG
,28-Sep-25,Pond Pigeons,2,Trash Pandas 7 Landis,5,Division 7C,Division 7A,REG
,28-Sep-25,Mudflaps,4,Seattle Freeze,2,Division 6D,Division 7A,REG
,28-Sep-25,Cascadians HC,11,Birrds,7,Division 7A,Division 7B,REG
,29-Sep-25,Reapers,7,Top Cheddar,5,Division 5B,Division 5A,REG
,29-Sep-25,Roughnecks - Game Theory,0,Ice-O-Topes,2,Division 5A,Division 5A,REG
,29-Sep-25,Highlanders,4,Gamblers,6,Division 5D,Division 5C,REG
,29-Sep-25,WKUP-5,2,Bullets,3,Division 5B,Division 5C,REG
,29-Sep-25,Dirty Couch Hockey Club,0,Midnight Twist,5,Division 6B,Division 6A,REG
,29-Sep-25,Piranhas,3,Monarchs 5D,2,Division 5C,Division 5D,REG
,29-Sep-25,Trash Pandas 5B,4,Renegades,2,Division 5B,Division 5B,REG
,29-Sep-25,BSOD,2,Hooligans,3,Division 4C,Division 4C,REG
,29-Sep-25,Yetis,5,Lumberjacks,0,Division 5C,Division 5D,REG
,29-Sep-25,Not Sure 5A,2,Edible Arrangements,9,Division 5A,Division 4C,REG
,29-Sep-25,Seagulls,5,Dumpster Fire,4,Division 5B,Division 5A,REG
,29-Sep-25,Fossils,7,PussyCats,3,Division 6A,Division 6A,REG
,29-Sep-25,Jokres,8,Icemen,2,Division 6B,Division 6B,REG
,29-Sep-25,Alpuckas,4,Stingers,7,Division 5D,Division 5C,REG
,29-Sep-25,Brewzers OGB,8,Dumb Pucks,1,Division 6A,Division 6B,REG
,30-Sep-25,40+ Advanced Bakers Dozen,2,40+ Advanced Falk,2,40+ Advanced Fall 2025,40+ Advanced Fall 2025,REG
,30-Sep-25,40+ Advanced 40 Proof,6,40+ Advanced Road Apples,3,40+ Advanced Fall 2025,40+ Advanced Fall 2025,REG
,30-Sep-25,Coconut Corgis,5,Night Owls,0,Division 4A,Division 4B,REG
,30-Sep-25,Blue Footed Bloobies,6,Pineapple Express,3,Women''s Division Fall 2025,Women''s Division Fall 2025,REG
,30-Sep-25,Seals 5D,1,Black Katz,3,Division 5D,Division 5D,REG
,30-Sep-25,Black Sheesh,4,Grey Dust Bunnies,3,Women''s Division Fall 2025,Women''s Division Fall 2025,REG
,30-Sep-25,Greasy Weasels,3,Kraken Up,9,Division 4B,Division 4B,REG
,30-Sep-25,40+ Advanced Gritty Pylons,5,40+ Advanced Puck Hogs,1,40+ Advanced Fall 2025,40+ Advanced Fall 2025,REG
,30-Sep-25,Mighty Mallards,3,Maple Bars,8,Division 4B,Division 4A,REG
,30-Sep-25,Wolves,4,LLUA,6,Division 4C,Division 4C,REG
,30-Sep-25,White Yetis,5,Red Hots,0,Women''s Division Fall 2025,Women''s Division Fall 2025,REG
,30-Sep-25,Steelhead,3,Schilling Cider,3,Division 4A,Division 4B,REG
,30-Sep-25,Sirens,1,Rink Flamingos,5,Women's Division Fall 2025,Women's Division Fall 2025,REG
,30-Sep-25,Dead Rabbits,4,Moose Knuckle,3,Division 4C,Division 4C,REG
,1-Oct-25,40+ Rough Draft,6,40+ Carl''s Seniors,3,40+ Fall 2025,40+ Fall 2025,REG
,1-Oct-25,Sabercats,6,Breakers,2,Division 3B,Division 3B,REG
,1-Oct-25,Sasquatch,3,MMHC,5,Division 3B,Division 3B,REG
,1-Oct-25,The Brigade,10,Bar Down Transportation,5,Division 2,Division 3A,REG
,1-Oct-25,40+ Elder Skatesmen,4,40+ Gritty Pylons,8,40+ Fall 2025,40+ Fall 2025,REG
,1-Oct-25,Pull Tab Bandits,8,Eagles,4,Division 2,Division 3,REG
,1-Oct-25,40+ Puck Dynasty,4,40+ Geri Hat Tricks,1,40+ Fall 2025,40+ Fall 2025,REG
,1-Oct-25,40+ Coldtimers,6,40+ Mid-Ice Crisis,3,40+ Fall 2025,40+ Fall 2025,REG
,1-Oct-25,Chinooks,10,Buck Wild,1,Division 4A,Division 4B,REG
,1-Oct-25,Puget Sound Pigeons,3,Booze Hounds,3,Division 3,Division 3B,REG
,1-Oct-25,Skeletons,0,DevilFish,1,Division 4C,Division 4C,REG
,1-Oct-25,40+ Assisted Living,1,40+ Red Flags,2,40+ Fall 2025,40+ Fall 2025,REG
,1-Oct-25,Bombers,4,Puckbuddies,6,Division 3B,Division 3B,REG
,2-Oct-25,Koronis Motors,1,Red Dog,4,Division 2,Division 2,REG
,2-Oct-25,Pheasants,3,Chiefs,5,Division 2,Division 2,REG
,2-Oct-25,ESB,4,Mustangs,6,Division 1,Division 1,REG
,2-Oct-25,Falcons,1,Northwest Crabs,0,Division 1,Division 2,REG
,2-Oct-25,NW Stars,3,ALTP,6,Division 1,Division 1,REG
,2-Oct-25,Rhinos,0,Mavericks,12,Division 3A,Division 2,REG
,2-Oct-25,The Herd,7,Shockers,4,Division 3,Division 3B,REG
,2-Oct-25,Seattle Supernova,1,The Mighty Geoducks,2,Division 1,Division 2,REG
,2-Oct-25,Skateful Dead,7,Goal Diggers,5,Division 4A,Division 4A,REG
,5-Oct-25,Los Tigres,1,Orcas,2,Division 7C,Division 8A,REG
,5-Oct-25,Fluffy Bunnies,2,Quacken,0,Division 7B,Division 7C,REG
,5-Oct-25,Hungry Hatchlings,2,Blackouts,6,Division 8B,Division 8A,REG
,5-Oct-25,BLU Bombers,10,Spittin'' Llamas,3,Division 7C,Division 8A,REG
,5-Oct-25,Rainier Reindeers HC-9,3,Khaos,2,Division 9B,Division 9A,REG
,5-Oct-25,Orange Crush,3,Yacht Flippers,3,Division 9B,Division 9A,REG
,5-Oct-25,Seattle Freeze,6,Monarchs 6C,3,Division 7A,Division 6C,REG
,5-Oct-25,Gremlins Hockey,4,Frozen Assets,7,Division 9A,Division 9A,REG
,5-Oct-25,Mudflaps,4,Trash Pandas 7 Landis,3,Division 6D,Division 7A,REG
,5-Oct-25,Purple Reign,9,Purple Puck Eaters,1,Division 9B,Division 9B,REG
,5-Oct-25,Spicy Kittens,5,Mighty Moose,3,Division 9B,Division 9B,REG
,5-Oct-25,Coyotes,1,Barrel Aged Brewzers,0,Division 6C,Division 6D,REG
,5-Oct-25,Glow Sticks,5,Toe Dragons,2,Division 8A,Division 8B,REG
,5-Oct-25,Trash Pandas Garbage Legacy,1,Blades,4,Division 6D,Division 6D,REG
,5-Oct-25,Wranglers,1,Greenhorns,1,Division 6D,Division 6C,REG
,5-Oct-25,Real Bacon,5,Hackers,1,Division 6C,Division 6C,REG
,5-Oct-25,Not Sure 7A,3,Birrds,2,Division 7A,Division 7B,REG
,5-Oct-25,SEA Cucumbers,2,Seal Team Sticks,3,Division 8B,Division 8B,REG
,5-Oct-25,Rainiers,5,Fighting Clams,2,Division 8B,Division 9A,REG
,5-Oct-25,Ice Breakers,5,Red Zeppelin,2,Division 10A,Division 10A,REG
,5-Oct-25,Seattle Slapshots,4,Blackbirds,0,Division 8B,Division 9A,REG
,5-Oct-25,Pond Pigeons,1,Cascadians HC,8,Division 7C,Division 7A,REG
,5-Oct-25,Mighty Boosh,0,Icemen,3,Division 6B,Division 6B,REG
,5-Oct-25,Tropical Punchers,2,Beer Dragons,3,Division 9B,Division 9B,REG
,5-Oct-25,Sockeyes Div 8,3,Scrooge McPuck,1,Division 8A,Division 8A,REG
